"model"	"loglik"	"bayes_factors"	"model_posterior"
"tree18"	-4991.14	1	0.513061006672794
"tree24"	-4991.32	0.835270211411789	0.42854457551073
"tree29"	-4993.97	0.0590128536694521	0.0302771941102834
"tree33"	-4994.75	0.0270518468663593	0.0138792477856126
"tree27"	-4995.58	0.0117959385197563	0.00605203609159655
"tree28"	-4996.44	0.00499159390691385	0.002560992194783
"tree19"	-4996.56	0.00442714664783119	0.00227139631582436
"tree32"	-4997.44	0.00183630477703024	0.000942136377461197
"tree30"	-4997.66	0.00147366910235469	0.000756082153156691
"tree31"	-4997.95	0.00110269289995826	0.000565748729303529
"tree25"	-4998.42	0.000689185563692969	0.000353594239092672
"tree20"	-4998.44	0.000675538775194336	0.000346592604047712
"tree23"	-4999.34	0.000274653569972192	0.00014091403709621
"tree26"	-4999.34	0.000274653569972192	0.00014091403709621
"tree22"	-5000.07	0.000132358024530026	6.79077413065974e-05
"tree5"	-5001.68	2.64567297269909e-05	1.3573916387e-05
"tree17"	-5002	1.92115288153789e-05	9.8566863137417e-06
"tree1"	-5002.66	9.92950430585577e-06	5.09444147492421e-06
"tree3"	-5003.27	5.39520479406258e-06	2.76806920284763e-06
"tree21"	-5003.32	5.13207755132338e-06	2.63306887480482e-06
"tree39"	-5003.61	3.84014665764324e-06	1.9702295099416e-06
"tree9"	-5003.74	3.37201523414102e-06	1.73004953054439e-06
"tree6"	-5003.93	2.78851879766766e-06	1.43068026145738e-06
"tree38"	-5005.8	4.29776728136915e-07	2.20501680782465e-07
"tree40"	-5006.5	2.13420807104387e-07	1.09497894137897e-07
"tree35"	-5006.57	1.98992241583528e-07	1.02095159786921e-07
"tree14"	-5006.61	1.91189644186708e-07	9.80919513118457e-08
"tree16"	-5008.13	4.18154478457792e-08	2.14538757662292e-08
"tree7"	-5008.55	2.74747070262096e-08	1.40962008449072e-08
"tree34"	-5008.9	1.93610988098915e-08	9.93342484569438e-09
"tree10"	-5009.07	1.63342778765504e-08	8.3804810506161e-09
"tree4"	-5009.23	1.39191534397526e-08	7.14137487583258e-09
"tree42"	-5009.6	9.61443713423848e-09	4.93279279468469e-09
"tree8"	-5010.12	5.71598043347515e-09	2.93264667532075e-09
"tree36"	-5010.17	5.43720877819092e-09	2.78961980922879e-09
"tree41"	-5011.31	1.73892279285147e-09	8.92173478626642e-10
"tree13"	-5011.36	1.65411452749648e-09	8.48661664629439e-10
"tree37"	-5012.8	3.91905647603079e-10	2.01071506079989e-10
"tree11"	-5013.1	2.90330844532376e-10	1.48957435363944e-10
"tree0"	-5013.19	2.65342412864474e-10	1.36136845457235e-10
"tree12"	-5013.83	1.39913044080694e-10	7.1783927242696e-11
"tree2"	-5014.07	1.10059498600531e-10	5.64672371458914e-11
"tree15"	-5014.08	1.08964388291949e-10	5.59053787485524e-11
